uik,lat,lon,yavka,okrug,okrug_yavka
589,55.181215,61.348718,36,11,33
548,55.181215,61.348718,34,11,33
547,55.182881,61.361159,30,11,33
540,55.177622,61.395861,29,8,31
539,55.178352,61.398682,34,8,31
571,55.181082,61.311896,33,19,33
570,55.181082,61.311896,33,19,33
569,55.181082,61.311896,33,19,33
568,55.181082,61.311896,34,19,33
587,55.173632,61.29719,34,25,33
586,55.173632,61.29719,31,25,33
585,55.173632,61.29719,36,25,33
584,55.173632,61.29719,31,25,33
532,55.187522,61.403272,61,4,35
531,55.187522,61.403272,33,4,35
526,55.191855,61.412498,20,4,35
525,55.191855,61.412498,27,4,35
2280,55.180969,61.299337,34,21,32
579,55.180969,61.299337,39,21,32
575,55.178414,61.302643,34,21,32
574,55.178414,61.302643,36,21,32
573,55.178414,61.302643,27,21,32
572,55.178414,61.302643,27,21,32
558,55.176517,61.337138,35,14,35
557,55.176517,61.337138,34,14,35
556,55.176239,61.342169,35,14,35
555,55.176239,61.342169,37,14,35
528,55.181678,61.415642,29,3,35
527,55.181678,61.415642,48,3,35
522,55.181606,61.421849,38,3,35
521,55.181606,61.421849,28,3,35
578,55.183004,61.299589,32,22,31
577,55.183004,61.299589,36,22,31
576,55.183004,61.299589,26,22,31
554,55.176475,61.34817,36,13,35
553,55.176475,61.34817,35,13,35
552,55.176475,61.34817,35,13,35
551,55.176475,61.34817,34,13,35
546,55.181611,61.377374,29,10,30
545,55.181611,61.377374,32,10,30
544,55.180033,61.390911,56,9,38
543,55.180033,61.390911,30,9,38
542,55.180033,61.390911,40,9,38
541,55.183734,61.394999,29,9,38
538,55.175247,61.403856,32,7,33
537,55.176419,61.40444,35,7,33
536,55.176419,61.40444,34,7,33
2252,55.186417,61.444478,37,1,37
518,55.184983,61.436726,36,1,37
517,55.184983,61.436726,35,1,37
516,55.188586,61.443382,40,1,37
530,55.190642,61.394199,35,5,33
529,55.190642,61.394199,32,5,33
2409,55.176501,61.318759,23,18,28
2403,55.176501,61.318759,20,18,28
2402,55.176501,61.318759,23,18,28
567,55.180475,61.328191,35,18,28
566,55.180475,61.328191,39,18,28
524,55.185867,61.422308,32,2,32
523,55.185867,61.422308,26,2,32
520,55.182613,61.432773,37,2,32
519,55.184983,61.436726,36,2,32
561,55.188142,61.337376,29,15,29
565,55.183431,61.328317,37,16,31
564,55.186222,61.328604,32,16,31
563,55.186222,61.328604,36,16,31
562,55.186222,61.328604,25,16,31
560,55.183235,61.33394,28,16,31
559,55.183235,61.33394,32,16,31
535,55.181914,61.403479,36,6,34
534,55.181914,61.403479,33,6,34
533,55.181914,61.403479,35,6,34
550,55.177519,61.36628,32,12,33
549,55.177519,61.36628,35,12,33
2431,55.168146,61.284129,30,23,33
2410,55.168146,61.284129,35,23,33
2281,55.179565,61.293247,28,23,33
583,55.178115,61.286554,30,23,33
582,55.178115,61.286554,39,23,33
581,55.178115,61.286554,36,23,33
580,55.178115,61.286554,36,23,33
